lncRNA,miRNA,TargetGene,lncRNA_regulation,miRNA_regulation,RNA_regulation
SNHG1,hsa-miR-30d-3p,CAMKV,down,down,up
MAPKAPK5-AS1,hsa-miR-30d-3p,CAMKV,down,down,up
SNHG1,hsa-miR-22-3p,BUB1B,down,down,up
SNHG1,hsa-miR-22-3p,HTR2C,down,down,up
SNHG1,hsa-miR-22-3p,E2F2,down,down,up
ITPK1-AS1,hsa-miR-22-3p,BUB1B,up,down,up
ITPK1-AS1,hsa-miR-22-3p,HTR2C,up,down,up
ITPK1-AS1,hsa-miR-22-3p,E2F2,up,down,up
ADORA2A-AS1,hsa-miR-22-3p,BUB1B,up,down,up
ADORA2A-AS1,hsa-miR-22-3p,HTR2C,up,down,up
ADORA2A-AS1,hsa-miR-22-3p,E2F2,up,down,up
DANCR,hsa-miR-22-3p,BUB1B,down,down,up
DANCR,hsa-miR-22-3p,HTR2C,down,down,up
DANCR,hsa-miR-22-3p,E2F2,down,down,up
WDFY3-AS2,hsa-miR-22-3p,BUB1B,down,down,up
WDFY3-AS2,hsa-miR-22-3p,HTR2C,down,down,up
WDFY3-AS2,hsa-miR-22-3p,E2F2,down,down,up
SMAD5-AS1,hsa-miR-22-3p,BUB1B,up,down,up
SMAD5-AS1,hsa-miR-22-3p,HTR2C,up,down,up
SMAD5-AS1,hsa-miR-22-3p,E2F2,up,down,up
HCG18,hsa-miR-22-3p,BUB1B,down,down,up
HCG18,hsa-miR-22-3p,HTR2C,down,down,up
HCG18,hsa-miR-22-3p,E2F2,down,down,up
RNF216P1,hsa-miR-22-3p,BUB1B,down,down,up
RNF216P1,hsa-miR-22-3p,HTR2C,down,down,up
RNF216P1,hsa-miR-22-3p,E2F2,down,down,up
MIR137HG,hsa-miR-30d-3p,CAMKV,up,down,up
LINC00661,hsa-miR-30d-3p,CAMKV,up,down,up
LIMD1-AS1,hsa-miR-30d-3p,CAMKV,up,down,up
TSIX,hsa-miR-30d-3p,CAMKV,up,down,up
