Sample_ID,Cluster_SNF
1014,0
2066,0
3005,3
3007,1
3016,4
3019,1
3021,2
3027,2
3031,0
3034,2
3037,0
3053,4
3055,2
3061,2
3070,0
4026,3
4070,1
4093,0
4095,0
4219,1
4260,2
4264,3
5010,0
5055,3
5069,1
5100,1
5101,0
5128,4
5129,3
5134,1
5135,1
5137,0
5159,4
5162,1
5210,3
5211,3
5223,1
6003,1
6142,1
6143,3
6144,3
6147,4
6156,3
6159,1
6164,3
6170,0
6175,0
6181,0
6185,1
6189,1
6196,2
6199,1
6213,1
6215,0
7037,0
7050,4
7056,3
7077,1
7100,4
7117,4
7131,2
7147,0
7156,0
7180,1
7181,0
7183,4
7227,0
7238,2
7245,3
7254,0
7257,4
7288,0
7308,0
7338,4
7343,1
7353,1
7359,4
7362,1
7364,3
7411,3
7455,0
7486,1
7495,3
